Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
"Негатив. Сцена из спектакля. ""Солнечная ночь"" (Пост. - Стуруа Р., худ. - Кочакидзе О. и др.). Грузия, Грузинский государственный драматический театр им. Ш. Руставели","[""Ефимов Игорь Григорьевич (Фотограф). Ефимов Игорь Григорьевич (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1966,,,,3х4,,1,,2579925,2013-01-30T20:00:00.000Z,НФ 126862,КП 294037/257,1000028,,,,,4,,3,метры,,,,,1966-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579930,2013-01-30T20:00:00.000Z,НФ 137748,КП 296809/333,1000027,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579931,2013-01-30T20:00:00.000Z,НФ 137755,КП 296809/340,1000026,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579935,2013-01-30T20:00:00.000Z,НФ 137703,КП 296809/231,1000025,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579937,2013-01-30T20:00:00.000Z,НФ 137702,КП 296809/230,1000024,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579938,2013-01-30T20:00:00.000Z,НФ 137725,КП 296809/310,1000023,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Рисунок. Портрет. В.В.Ванин в роли Прохора Храпова. ""Васса Железнова"" (Постановка 1936 г. Постановка И.Н.Берсенева, С.Г.Бирман, С.В.Гиацинтовой, художник В.А.Шестаков). Москва, Театр имени МОСПС","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, цветной карандаш, графитный карандаш, акварель""]",,,,,"33,5х24,2",,1,"[{""id"":294909,""code"":""294909"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294909""}]",2579942,2013-01-30T20:00:00.000Z,,КП 291991,1000022,,,,,24.2,,33.5,метры,,,,,,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Актриса Книппер-Чехова О.Л, в жизни.","[""Альтман А. (Фотограф). Альтман А. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",,,,,4х3,Ее и мальчика обнимает молодой улыбающийся человек. Поясные.,1,,2579945,2013-01-30T20:00:00.000Z,НФ 132586,КП 297148/6,1000021,,,,,3,,4,метры,,,,,,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Рисунок. Портрет. О.И.Пыжова в роли Няни. ""Ромео и Джульетта"" (Постановка 1935 г. Режиссеры А.Д.Попов, И.Ю.Шлепянов, художник  И.Ю.Шлепянов). Москва, Театр Революции","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, графитный карандаш""]",1935 г.,,,,"36,7х22,7",,1,"[{""id"":294908,""code"":""294908"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294908""}]",2579954,2013-01-30T20:00:00.000Z,,КП 291983,1000020,,,,,22.7,,36.7,метры,,,,,1935-01-01T12:00:00.000Z,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Закариадзе С. - Бак-Бак. ""Чинграка"" (Пост. - Туманишвили М., худ. - Кочакидзе О. и др.). Грузия, Грузинский государственный драматический театр им. Ш. Руставели","[""Ефимов Игорь Григорьевич (Фотограф). Ефимов Игорь Григорьевич (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1966,,,,3х4,,1,,2579955,2013-01-30T20:00:00.000Z,НФ 126863,КП 294037/245,1000019,,,,,4,,3,метры,,,,,1966-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579958,2013-01-30T20:00:00.000Z,НФ 137735,КП 296809/320,1000018,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579963,2013-01-30T20:00:00.000Z,НФ 137728,КП 296809/313,1000017,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579964,2013-01-30T20:00:00.000Z,НФ 137708,КП 296809/236,1000016,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579968,2013-01-30T20:00:00.000Z,НФ 137732,КП 296809/317,1000015,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579969,2013-01-30T20:00:00.000Z,НФ 137729,КП 296809/314,1000013,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579972,2013-01-30T20:00:00.000Z,НФ 137707,КП 296809/235,1000014,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
Зарисовка. Автопортрет.,"[""Шаляпин Федор Иванович""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, графитный карандаш""]",,,,,"25,3х19,8",,1,"[{""id"":294907,""code"":""294907"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294907""}]",2579974,2013-01-30T20:00:00.000Z,,КП 292925/97,1000012,,,,,19.8,,25.3,метры,,,,,,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Рисунок. Портрет. Ц.Л.Мансурова в роли Шуры. ""Егор Булычев и другие"" (Постановка 1932 г. Режиссер Б.Е.Захава, художник В.В.Дмитриев). Москва, Театр им. Е.Б. Вахтангова","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, графитный карандаш""]",1938 г.,,,,"23х17,3",,1,"[{""id"":294906,""code"":""294906"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294906""}]",2579976,2013-01-30T20:00:00.000Z,,КП 291992,1000011,,,,,17.3,,23,метры,,,,,1938-01-01T12:00:00.000Z,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Рисунок. Портрет. Мужской персонаж. ""Ромео и Джульетта"" (Постановка 1935 г. Режиссеры А.Д.Попов, И.Ю.Шлепянов, художник  И.Ю.Шлепянов). Москва, Театр Революции","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, графитный карандаш""]",1935 г.,,,,"36,5х22,7",,1,"[{""id"":294905,""code"":""294905"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294905""}]",2579977,2013-01-30T20:00:00.000Z,,КП 291984,1000010,,,,,22.7,,36.5,метры,,,,,1935-01-01T12:00:00.000Z,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579982,2013-01-30T20:00:00.000Z,НФ 137753,КП 296809/338,1000009,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579985,2013-01-30T20:00:00.000Z,НФ 137706,КП 296809/234,1000007,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Актриса Книппер-Чехова О.Л, в жизни.","[""Альтман А. (Фотограф). Альтман А. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",,,,,3х4,Сидит на диване с мальчиком на руках. Перед ней открытая книга.,1,,2579986,2013-01-30T20:00:00.000Z,НФ 132585,КП 297148/5,1000008,,,,,4,,3,метры,,,,,,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579991,2013-01-30T20:00:00.000Z,НФ 137746,КП 296809/331,1000006,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579994,2013-01-30T20:00:00.000Z,НФ 137726,КП 296809/311,1000005,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
Негатив. Актер  Качалов В.И. в жизни.,"[""Альтман А. (Фотограф). Альтман А. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",,,,,4х3,"Голова, фас.",1,,2579996,2013-01-30T20:00:00.000Z,НФ 132581,КП 297148/1,1000004,,,,,3,,4,метры,,,,,,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Режиссерский экземпляр пьесы ""Дон Кихот Ламанчский, рыцарь печального образа"" (по Сервантесу) авторы инсценировки М.А. Чехов, В.А. Громов в постановке В.Н. Татаринова на сцене МХАТ-2. С пометами рукой Татаринова В.Н. Подпись  - автограф (на 1 л.). ""Дон Кихот Ламанчский, рыцарь печального образа"". Москва, Московский Художественный академический театр второй",,"Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""машинописная копия, рукопись, карандаш, в твердом переплете серого цвета""]",1920-е,,,,"22,5х17,5",,1,,2579999,2013-01-30T20:00:00.000Z,,КП 298553,1000001,,,,,17.5,,22.5,метры,,,,,1920-01-01T12:00:00.000Z,1929-01-01T12:00:00.000Z,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Охлопков Н. на репетиции. ""Гамлет""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",,,,,"3,5х4",,1,,2580003,2013-01-30T20:00:00.000Z,НФ 137721,КП 296809/249,1000000,,,,,4,,3.5,метры,,,,,,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Рисунок. Портрет. Мужской персонаж. ""Ромео и Джульетта"" (Постановка 1935 г. Режиссеры А.Д.Попов, И.Ю.Шлепянов, художник  И.Ю.Шлепянов). Москва, Театр Революции","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, тушь""]",1935 г.,,,,"36,4х22,7",,1,"[{""id"":294904,""code"":""294904"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294904""}]",2580004,2013-01-30T20:00:00.000Z,,КП 291970,1000002,,,,,22.7,,36.4,метры,,,,,1935-01-01T12:00:00.000Z,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2580005,2013-01-30T20:00:00.000Z,НФ 137741,КП 296809/326,1000003,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
